"","decimalLatitude","decimalLongitude","eventDate","scientificName","taxonConceptID","recordID","data_resource"
"1",-33.866,151.266,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ff615c89-439e-4ef4-8554-75b33266e182","Australian Museum provider for OZCAM"
"2",-33.833,151.25,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","fe1204e0-d3ad-4051-869d-7a05e1edcdfa","Australian Museum provider for OZCAM"
"3",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","fda8beeb-90d5-4738-a5e5-7111fd1f7b37","Australian Museum provider for OZCAM"
"4",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","fd8b3b53-0aad-48cc-8e51-78980f72f007","Australian National Wildlife Collection provider for OZCAM"
"5",-41.16666,147.5,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","fd3f5c13-9607-4365-b319-d051599c334d","Queen Victoria Museum Art Gallery provider for OZCAM"
"6",-34.3333,139,"1880-01-01","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","fcc53fdc-12e0-4e95-8dfc-7b1dcd76b711","South Australian Museum Australia provider for OZCAM"
"7",-42.78,147.56,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","fc8bb38d-c631-4ae7-89c7-eb1bdc9de01a","Tasmanian Museum and Art Gallery provider for OZCAM"
"8",-37.8,145.02,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","fc7b50f3-8a45-4bfa-8f3c-ea490e152583","Museums Victoria provider for OZCAM"
"9",-33.916,151.133,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","fb6fbc92-fa9e-4f15-affb-8b264350c165","Australian Museum provider for OZCAM"
"10",-37.8,145.02,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","fb20d076-a191-496d-afad-2d24226497c3","Museums Victoria provider for OZCAM"
"11",-33.816,151.2,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","fb0d5ca7-0d9e-43cd-a065-be5e3714c46d","Australian Museum provider for OZCAM"
"12",-37.85,144.98,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","fabf4252-8580-4f8b-b061-68e0b1b297a6","Museums Victoria provider for OZCAM"
"13",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","faaf157b-1597-4ebe-85c8-434f6115d1f0","Australian Museum provider for OZCAM"
"14",-37.8,145.02,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","fa99dacd-ee1a-4ef7-beed-969223d22b5b","Museums Victoria provider for OZCAM"
"15",-41.216667,147.7,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","fa82799f-5508-478e-99dc-2125fe517349","Queensland Museum provider for OZCAM"
"16",-43,147.2,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f9ed9aa5-121f-4568-b673-24139c2a7fbc","Tasmanian Museum and Art Gallery provider for OZCAM"
"17",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f9ead9a9-71d8-4d10-a1a1-b614bc24da7b","Queensland Museum provider for OZCAM"
"18",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f9e68e9b-3cad-4d61-b38f-702aa73159f4","Australian Museum provider for OZCAM"
"19",-33.883,151.1,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f9b179ca-13c3-40f8-a8f2-3c4083f78893","Australian Museum provider for OZCAM"
"20",-40.96665,148.01666,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f9a7dde7-30a2-4162-9f01-df67e149a5e6","Queen Victoria Museum Art Gallery provider for OZCAM"
"21",-34.4,150.483,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f8d7713c-3d87-4b29-be5b-750333d373a8","Australian Museum provider for OZCAM"
"22",-35.15,149.666,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f8591faa-e706-4876-a29f-427b34df4277","Australian Museum provider for OZCAM"
"23",-41.5319,146.8343,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f7fdb3f8-4532-440f-a92c-91ca107bf3ac","Tasmanian Museum and Art Gallery provider for OZCAM"
"24",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f7457be8-83b8-40b3-9c17-13e756e0fb14","South Australian Museum Australia provider for OZCAM"
"25",-40.9,147.9,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f5f15e14-2b43-4995-898c-b5f36dcee924","Tasmanian Museum and Art Gallery provider for OZCAM"
"26",-33.833,151.183,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f55569a7-f0e8-4f97-bd5f-3efdf7150c57","Australian Museum provider for OZCAM"
"27",-33.733,150.483,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f51f817f-450e-49b5-8656-5197228b243f","Australian Museum provider for OZCAM"
"28",-37.68,145.9,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f5020877-b88a-4c4f-8039-7fe206944a16","Museums Victoria provider for OZCAM"
"29",-33.733,150.483,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f4d78afd-ab80-4856-b4bd-29a225b6d286","Australian Museum provider for OZCAM"
"30",-37.8,145.02,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f40021c0-5731-41a5-8b97-47e05c9cbc85","Museums Victoria provider for OZCAM"
"31",-34.877845548,150.748287633,"1920-01-01","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f3e69354-6f16-40d6-85d5-1f9f1df202f0","OEH Atlas of NSW Wildlife"
"32",-37.8,145.02,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f3a716e2-b549-4f4f-a497-09331a1004a1","Museums Victoria provider for OZCAM"
"33",-33.916,151.133,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f3453e05-eaa4-40f7-b6b2-1a2452c56766","Australian Museum provider for OZCAM"
"34",-34.066,150.816,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","f2ead7e9-4051-4e50-a755-b5a6599014f3","Australian Museum provider for OZCAM"
"35",-33.816,151.2,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ee76fce1-9ec5-4072-ac87-9e34148a7fee","Australian Museum provider for OZCAM"
"36",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ee5ac4c9-0f45-41eb-b534-574d1b56a974","Australian Museum provider for OZCAM"
"37",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ee3dd5a1-b7ff-4607-9477-d99a8ca840b4","Australian Museum provider for OZCAM"
"38",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ed2a948b-c37f-437d-aad7-929d221c84ff","Queensland Museum provider for OZCAM"
"39",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ed0309bd-1d04-4b41-a64d-b44797e94d7f","South Australian Museum Australia provider for OZCAM"
"40",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ecec7eec-dce4-48f8-95f8-9fdfd4a13b04","Australian Museum provider for OZCAM"
"41",-33.833,151.25,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ec639f4e-580d-4cfa-9b16-4dcf4e28407e","Australian Museum provider for OZCAM"
"42",-37.8,145.02,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ec265762-fa26-4c67-bb52-8c3aa68ac5c4","Museums Victoria provider for OZCAM"
"43",-34.25963868,150.969594628,"1968-01-01","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ebf89f6e-3763-4145-bf2f-f141bde581d8","OEH Atlas of NSW Wildlife"
"44",-34.75,149.716,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ebd331b4-b519-4f6c-9299-28b66f6cdeeb","Australian Museum provider for OZCAM"
"45",-37.85,144.98,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","eafdd288-0a93-4b53-8149-1ef10e49f1ca","Museums Victoria provider for OZCAM"
"46",-41.5319,146.8343,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","eac8ecff-f096-477a-9de5-88386f0ac202","Tasmanian Museum and Art Gallery provider for OZCAM"
"47",-41.25,147.21665,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ea7f8f67-38c6-4c43-b072-4684d77ba0f1","Queen Victoria Museum Art Gallery provider for OZCAM"
"48",-37.8,145.02,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ea762a4f-a766-4c07-b6fb-cbdbfae78445","Museums Victoria provider for OZCAM"
"49",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","ea35b4fc-e8e9-4003-b957-d84a77cc8c9a","Australian Museum provider for OZCAM"
"50",-33.95,151.2,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","e9d1f6d7-1e46-43b6-bd56-c7c337414a90","Australian Museum provider for OZCAM"
"51",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","e8d03e22-9ed0-401b-98c5-e51cbb63a2b4","Australian Museum provider for OZCAM"
"52",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","e789d4ac-188f-4076-bc90-109cf5712c36","South Australian Museum Australia provider for OZCAM"
"53",-33.883333,151.216667,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","e7742b96-114b-47d9-9371-5954d3a3ca8a","Western Australian Museum provider for OZCAM"
"54",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","e762a56a-00ca-4253-8980-170bcde6adae","Museums Victoria provider for OZCAM"
"55",NA,NA,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","e6d19d25-6be0-496d-919a-80a7f30da02f","Queensland Museum provider for OZCAM"
"56",-38.25,143.52,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","e66997c7-eb8c-4c34-82ad-68198ac4f15a","Museums Victoria provider for OZCAM"
"57",-37.8,145.02,"","Dasyurus viverrinus","urn:lsid:biodiversity.org.au:afd.taxon:52149285-a12a-4085-a285-b41af5ba3ce3","e62c4aa3-a5c4-48e5-ae12-224045b1ead1","Museums Victoria provider for OZCAM"
