"","decimalLatitude","decimalLongitude","eventDate","scientificName","taxonConceptID","recordID","data_resource"
"1",-35.3056,149.0833,"1970-03-06","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","0a680a56-ea94-49b5-ba54-2d33000a31b6","Australian National Wildlife Collection provider for OZCAM"
"2",-35.3056,149.1667,"1970-06-30","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","a1e8aba4-d960-4311-b611-c3d42f298cfc","Australian National Wildlife Collection provider for OZCAM"
"3",-35.29,149.12,"2010-01-13","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","4259c21d-1687-4db0-be3e-76226ad3d5f8","ACT Wildlife Atlas"
"4",-35.31,149.15,"1998-05-10","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","8d20e3c0-d257-4c4f-863e-987ef9348262","ACT Wildlife Atlas"
"5",-35.2991,149.1418,"2019-05-04","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","2a3de842-c7bb-4e70-bd09-5033959d2c71","Australian Platypus Conservancy"
"6",-35.303,149.173,"1992-08-11","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","bfd0824e-51e3-4152-8dbb-72a9a79bfd51","ACT Wildlife Atlas"
"7",-35.2906,149.1291,"2018-08-05","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","926c096b-58f9-45c2-803a-694ea1defa6a","Australian Platypus Conservancy"
"8",-35.315,149.159,"1992-02-13","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","68e78414-adf8-4219-87e4-566a531a680a","ACT Wildlife Atlas"
"9",-35.3167,149.1583,"1970-07-23","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","97c7d657-3399-4215-9766-6b4622c07638","Australian National Wildlife Collection provider for OZCAM"
"10",-35.3,149.1,"1969-07-07","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","05cfa6ef-c310-4791-abf4-91fac559ca0d","Australian National Wildlife Collection provider for OZCAM"
"11",-35.302120186,149.164975079,"1980-01-01","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","fb839398-2a2a-48ca-a1a2-63add4be4e8c","OEH Atlas of NSW Wildlife"
"12",-35.303,149.161,"","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","f305f4d4-f70f-4e61-b9b3-1e140e0db79d","ACT Wildlife Atlas"
"13",-35.304,149.153,"","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","f1dfabb4-1c97-43b0-b7a0-c4b5fe35c2be","ACT Wildlife Atlas"
"14",-35.302,149.156,"","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","f1166676-8fb5-4263-8168-cf118c65d239","ACT Wildlife Atlas"
"15",-35.303,149.161,"","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","e56db804-377f-4c28-90f0-a074b08d98ee","ACT Wildlife Atlas"
"16",-35.3,149.17,"","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","d5cc3436-72d4-4504-b5dc-9294aeb5a0fc","ACT Wildlife Atlas"
"17",-35.303,149.161,"","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","c025465c-ac4c-47c6-a8e1-1b67381f588f","ACT Wildlife Atlas"
"18",-35.303710161,149.174434549,"1980-01-01","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","b3bbf0e9-db6a-43e8-ba05-a08a8bf3dd52","OEH Atlas of NSW Wildlife"
"19",-35.303,149.161,"","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","b3091d5d-cb25-45c4-85e7-cefff86e15f4","ACT Wildlife Atlas"
"20",-35.303,149.161,"","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","b0ff0084-e9ce-4271-be64-86a0c983f90e","ACT Wildlife Atlas"
"21",-35.303,149.161,"","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","a45fe89a-5821-4673-b623-c6221ffc72a4","ACT Wildlife Atlas"
"22",-35.305,149.151,"","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","6e3e6df7-cc51-4d16-8fbf-b3cff37abc72","ACT Wildlife Atlas"
"23",-35.28,149.117,"","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","4b7c434b-a573-48d4-91d7-fc03650e61cd","ACT Wildlife Atlas"
"24",-35.3,149.17,"","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","24f65923-49e8-4327-8495-4eeedba00b2c","ACT Wildlife Atlas"
"25",-35.315,149.159,"2012-10-17","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","dce8c7ae-4f93-4e52-80ec-05122727a2da","ACT Wildlife Atlas"
"26",-35.285,149.099,"1985-10-31","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","d0bd4a53-4b28-474b-97cb-cf01d6afee11","ACT Wildlife Atlas"
"27",-35.286,149.098,"1985-10-20","Ornithorhynchus anatinus","urn:lsid:biodiversity.org.au:afd.taxon:ac61fd14-4950-4566-b384-304bd99ca75f","b197959c-4e7d-4a86-a0b5-ace03a31bbfc","ACT Wildlife Atlas"
